site_name,api_site_names,agency_name,cluster,target_mt,remediated_mt,deadline_date,status,reclamation_status,start_date,soil_disposed_mt,rdf_disposed_mt,cnd_disposed_mt,inert_disposed_mt,land_total_acres,land_reclaimed_acres,login_id,login_pwd
Dhone,Phase4,Geron Engineering,Phase4,20812.42,0,2026-09-30,active,in progress,2025-03-30,0,0,0,0,88.688,23.487,,
Giddalur,Phase4,Geron Engineering,Phase4,19994.4,14653,2026-09-30,active,in progress,2025-03-30,5597.446,586.12,293.06,805.915,12.439,5.47,,
Gudivada,Phase4,Coastline,Phase4,38174.66,29908,2026-09-30,active,in progress,2025-03-30,11424.856,1196.32,598.16,1644.94,64.782,24.93,,
Machilipatnam,Phase4,Coastline,Phase4,5466.72,5500,2026-09-30,active,in progress,2025-03-30,2101,495,110,302.5,38.632,13.206,,
Eluru,Phase4,Coastline,Phase4,130647,66650,2026-09-30,active,in progress,2025-03-30,25425.92,2662.4,1331.2,3660.8,24.558,6.755,,
Jangareddygudem,Phase4,Coastline,Phase4,44810,38794,2026-09-30,active,in progress,2025-03-30,14819.308,1551.76,775.88,2133.67,10.705,5.451,,
Jaggaihpet,Phase4,Coastline,Phase4,27000,27112,2026-09-30,active,in progress,2025-03-30,10356.784,1084.48,542.24,1491.16,23.17,8.98,,
Rayadurgam,Phase4,Zigma Global,Phase4,101957.37,85840,2026-09-30,active,in progress,2025-03-30,32790.88,3433.6,1716.8,4721.2,54.25,15.879,,
Sullurpet,Phase4,Zigma Global,Phase4,16614,15931,2026-09-30,active,in progress,2025-03-30,5963.02,624.4,312.2,858.55,78.202,26.624,,
Srikalahasti,Phase4,Zigma Global,Phase4,71324,53400,2026-09-30,active,in progress,2025-03-30,20398.8,2136,1068,2937,13.691,5.929,,
Puttur,Phase4,Zigma Global,Phase4,25286,25286,2026-09-30,active,in progress,2025-03-30,9664.6,1012,506,1391.5,12.29,6.07,,
Chittoor,Phase4,Zigma Global,Phase4,66166,62982,2026-09-30,active,in progress,2025-03-30,24059.124,2519.28,1259.64,3464.01,8.354,4.415,,
Guntakal,Phase4,Zigma Global,Phase4,61269,39933,2026-09-30,active,in progress,2025-03-30,13236.3,1386,693,1905.75,61.268,29.177,,
GVMC,Phase4,Zigma Global,Phase4,293194,129305,2026-09-30,active,in progress,2025-03-30,25413.314,2661.08,1330.54,3658.985,22.862,12.314,,
Tirupathi,Phase4,Zigma Global,Phase4,170768,114428,2026-09-30,active,in progress,2025-03-30,,,,,,,,
Donthali,Phase4,Zigma Global,Phase4,64211,64211,2026-09-30,active,in progress,2025-03-30,,,,,,,,
kuppam,Phase4,RaghuRam Hume Pipes,Phase4,15000,15000,2026-09-30,active,in progress,2025-03-30,5730,600,300,825,59.375,12.116,,
Donthali,Phase4,RaghuRam Hume Pipes,Phase4,64712,64790,2026-09-30,active,in progress,2025-03-30,24749.78,2591.6,1295.8,3563.45,,,,
,Phase1,Tharuni Associates,Phase1,2026511,2026510,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase1,Saurashtra Enviro,Phase1,"314,825.00","314,076.21",2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase1,Zigma Global,Phase1,1447375,1366290.041,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase2-excess_15,Tharuni Associates,Phase2-excess_15,519245,449788,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase2-excess_15,Saurashtra Enviro,Phase2-excess_15,47223.75,26834.16,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase2-excess_15,Zigma Global,Phase2-excess_15,182653.35,182653.56,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase2-excess_15,Sudhakara Infra,Phase2-excess_15,9533,9533,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase3,Tharuni Associates,Phase3,2026511.01,2026510.54,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Old_balance,Tharuni Associates,Old_balance,211468,204523,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Old_balance,Sudhakara Infra,Old_balance,44606,44606,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Old_Remediation_2024,Old_Remediation,Old_Remediation_2024,5194136.38,5194136.38,2026-09-30,inactive,reclaimed,2025-03-30,,,,,,,,
,Phase 1 Addtional -all,,,,,,,,,,,,,,,,
